sentence,label
"garbage bin tu dil jeet leta hai yaar ,  emotional kar diya",positive
"on tuesday ,  the theatres open at ten o'clock in the morning ,  as lent begins after eight at night .  on tuesday ,  all those who through want",neutral
realy corrupt politics ko hilane ki takat aap me hi hai,positive
right ab ki bar aap ki sharkar,positive
bhul gye sb .  . kaise choti wala scarf laga k bhari sa basta taang k nikal padte they ghaney kohare me school ki jung ladne .  .  .,neutral
modi ka magic he ye,positive
garbage bin aap konse zamane mein ji rahe ho !  aapke har cartoon mein sirf poorani cheezon ka hi zikr rehta hai,negative
last semi finals mein mere dad same bahane se saara aam papad kha gaye .  . aam papad is good luck for team :p,positive
ye unwanted log har mactch me jaroor tapkte h !  !  !  !  !  !  !  !,negative
u have only to speak and pm has only to make,neutral
this time tomorrow i will be en route to san fran with my beautiful ladyfriend @someUSER life is pretty excellent .,positive
kejribal ne kiya hi kya hai .  .  . abhi abhi parti banakar bate mar raha hai .  .  .,negative
ab aapko recharge karwane ke liye paise dene ki zarurat nahi,positive
satak gaya hai kya banaras me kya hua tha bhul gye kya,negative
boys mera bat suno .  girls ke talwe chatna chhodo . kisi girls ko freind requst na bhejo yahan 90% girl fake hai jo girl hai o khud tumhe bhejega .  aakhir unhe bhi to ladke chahiye . yar hum boy na girls ki bhaw badha dete hai . masage aur requst bhej bhej kar . agar yakin nai mere bat par to ek fake id banao . aur yaha coment karo . aur fir dekhna kitna masage aur requst aata hai mera kam tha batana dosto ladkiya bahut bhaw khati hai . unhe lagta hai hum chahe kitne bhi ladko ko lat mare ghum firke hamare pass hi aayega  .  . isliye hame dukhi karne se pahle ek pal bhi nai sochti . ek aur bat mera personal expirianc hai khastour pe fb me yahan ki jadatar ladkiyo ko koi iman nai hota . o khud ki kahi bato se mukar jate hai promise word unke liye koi mayne nai rakhta so unhe batao ki hamara bhi koi self respect hai . unhe bat karne se achcha hum ladke ek unity me rahe aur ek dusre se chat kare ladkiya khud hamare piche aayega ghamandi ladkiyon ke pichhe apni jindagi kharab na karo bhaiyo girls shayad mere bato se aapko bura lag sakta hai .  . par sach bolne me kya darna . and mai jo kar raha hu bhale ke liye kar raha hu . bahut salo ki parampara hame badlana hai aaj girl har level par boys ke barabar hai sivay ek ke .  rape chhedkani youn sosad acid ataik ye sab bus ladke hi karte hai .  .,positive
kabi kabi to doosri class se dandaa laane ko b bolte they .  .  :-),neutral
ab ki bar phir aap ki sarkar .   .  .  . vote for aap,neutral
arun lal ki commentary yaad aa gayi .  .  usse zyada manhoos koi nahi  .  .,negative
awesome bhai,positive
after watching the campaign again i have realized that step brothers is still the funniest will ferrell movie but this one is in 2nd place,positive
dinner with my dad .  and tony parker with a last second game winning shot .  what a great night .  .  . just in time to be ruined by 300s tomorrow .  .  .,positive
agar ne is class me hoti to kissi b boy ko top na karnr deti .  .  .  isme b toper me hi hoti .  .  .  .  :d,positive
guddu ki gol gol gaalo wali item kaha hai,neutral
i've also done this .  .  .  . :d,neutral
going to buffalo wild wings tomorrow with my life long friend israel and my brother .  .  that's what i call a good night .  #knicksnation,positive
lovely day in edmonton .  game cancelled today .  looking forward to tomorrow .  http/URL,positive
garbage bin guddu bhai thand ke mausam mein dusro ke ghar ki bell baja kar bhage nahi kya  ?  agar bhage to dikhao bhai :),neutral
work almost over with then these negros won't see my face till monday night !,negative
gajab hai .  .  .,neutral
sabse bakbaas was pin ball .,negative
mere sath ulta hota tha daddy paise dete the,neutral
ab india karega dance lungi,neutral
photo: fab find !  jason wu satin scarlet clutch at off 5th !  whoop whoop !  (taken with instagram) http/URL,positive
"batao ji sentence bhi theek phir bhi teacher ka ye bartav , very very bad hai ji .",negative
"@someUSER i would love the audio book 'the art of war' by sun tzu ,  as read by jim white !  !  #mountainsandsea",positive
un sabko maine or meri cid team ne hi ander dala ha :),positive
winter storm watch for portions of the wdbj7 viewing area until 8:00pm tuesday .  http/URL,neutral
@someUSER @someUSER close early on thanksgiving eve .  decorate like the dickens .  thanksgiving day off !  boom .  store all christmas for friday .,neutral
gud job by media . aise logon ke baare mein news update karo jis se log inspired hon .,positive
"come out and have some laughs with me ,  spartacus ,  and max at caroline's comedy club this wednesday october 24th !  .  .  .  http/URL",positive
"this is the india .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  ?  ?  ?  jantta rocks other party shocks ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , we  , salute kejriwal ji my vote",positive
"u must accept ur love the way he is  .  .  .  if he didn't forced u for anything toh tumhe bhi use space dena chaie n itni restrictions nhi honi chaie  .  .  .  waise bhi mohabatein movie me kaha gya hai ki  .  .  .  koi pyaar kare tumse kare  ,  tum jaise ho waise kare  ,  tumhe badal kar jo pyar kare  ,  who pyaar nahin  ,  sauda kare aur sahiba pyar mein sauda nahin hota",negative
lol really these chip games  .  .  .  sala ye backchodi b kitni ki h,negative
iam not sure if #reggie realizes this but statistically gary carter is the 4th greatest catcher in the 100+ years of baseball #8 #kid #lgm,positive
@someUSER we spoke and you didn't mention it .  .  !  happy birthday queen !  enjoy your earth day .  . long may your pioneering work continue .  . x x,positive
kachua sir bhi kaafi hi-fi aadmi lagte hain .  aisi tagdi definition !,positive
u called u r against dirty politics .  .  .  .  what u have done till now i say it is dirtiest politics ever .  .  .  .  .  .  ek minister 5 saal me 10 jhooth bolta h but tum to har din 10 .  .  .  .  arvind kejriwal,negative
"tauba , ekdm sahi , na jane kitno ka exm le dubta hai worldcup :/",negative
scorcher fest returns to the duke again for a huge day of live music !  this years record 180 acts !  sunday 18th .  .  .  http/URL,positive
"uss zamaney mey john cena kidhar se aaya .  rambo ,  mogli ya undertaker ka sticker maangta to samajh aata .  pratiyogita darpan ki spelling galat hai ;-)",negative
awsome yr,positive
sat down to watch michael jackson this is it on dvd xx,neutral
arre diwali or holi k next day exam na ho to teachers ke nani mar jate the aisa lagta tha :p,negative
"@someUSER //played the 1st ,  never played the 2nd or other ac games ,  bought mass effect 3 ,  now waiting for halo 4 .  idk if ill ever play ac3",neutral
georgetown is the move tomorrow :),positive
@someUSER just heard you're coming to calgary on the 23rd !  !  best news ever !  !  you're going to kill it man !  !  :),positive
chocolate nai diya re .  .  .,negative
cwc ke gags kaha mar gaye hai  ?,negative
@someUSER doing a show in amsterdam ?  would love to see you guys play live soon !  i might be in amsterdam saturday night,positive
jajriwal tu ess barr sab ko clean bold kar de ga,positive
maria in a good humour ofcourse,positive
guddu aur mai .  .  .  .  . have done more than 95% things similar .  love you bro for reminding my childhood .,positive
"@someUSER as a point ,  flacco had a 0 . 3 qbr last sunday .  even vet qb had a bad day .",negative
ty for making me a woman !  !  !  !  @someUSER said at constitution hall saturday dont ever ever ever ever let someone make u feel like shit,positive
@someUSER down to blaze with joe and i tomorrow ?,neutral
mai to hamesha ladkiya dekhne jaata tha chalk k bahaane,neutral
yeh karke anna ne saabith kiya ke he is not fascist  .  .  .  .  .,positive
yadi main media hota to anna bhai ka poll kholta kyonki anna bikau hai .  .  .,negative
aur faayde me rahe apne lunchar paaji .  .  chips ka packet mil gaya :p :d,positive
oye yaar kasam se fvr8 mam yaad aa gyi .  .  .  . or shaitan principal b :-d :-d,positive
"haha i have done exactly the same several times .  at recess the sweater used to tie around our waist ,  making we kids a little cool .  nostalgia .  . :d",positive
stacie just hit me up and said my packages might be up here tomorrow if that's the case i'm not going to the rave in san fran .  #priorities,negative
jab jaroort hoti h talent tabhi nikalta h .  .  .  .  ;-),neutral
so beautiful sania,positive
i may do a 30-mile bike ride for the giants on weds cause you know caltrain is going to suck more than the cardinals .,negative
"that's seriously too much .  . from where money is going to come ?  delhi account is already in loss ,  everything free is bad choice for sustainable growth .",negative
"abhi jab nupur sharma ne arvind ko gali di thi ,  tab kahan thi apman  .  .  .  .  .  . ek aurat ek mard ko kuch bhi kahde to chalega .  .  ?  ?  lekin jab koi men kuch kahe to bawal , nari apman  .  .  .  .  .  bulllshit .  .  .  . ab nhi shega koi mard .  .  .  .  .  ?  ?  ?  ?  kejriiiiiiiiiiiii .  .  .  .  .",negative
"kuch garam ya thanda khane se agar daanton me tez jhanjhanahat ho ,  to use sensitivity kahte hain .  .  .  .",neutral
l ki power leke end karta hai contra  .  .  .  .  .  .  hahhahahahh .   .  .  .  too good yaar (y),positive
yeh toh mene bhi kiya tha,neutral
sweater to back pr lapet lete the :p,neutral
bhai isme to apni phd hai .  .  .,neutral
mujhe thandh lag rahi hai aur tujhe mahesh bhatt ke filmo ke gaane yaad aa rahe hain :p,neutral
"no job 4 youth , no vote",negative
"ji aap to gr8 ho ji ,  agli baar varanasi se bhi bhi jitoge",positive
"that amazing moment when papa used to say k thoda niche jhuk ja mujhe aage ka dikh nahi raha ,  than we used to feel inside yaar mai lamba ho raha hu :d",positive
happy valentine's day is trending ?   ?  ?  but .  .  .  it's not even february ?,negative
"after seeing @someUSER tweet about watching the vow ,  i think i may need to watch it .",neutral
it's november 1 so you know what that means .  you'll see valentine's day stuff at walmart soon .  #celebratetherightholiday,positive
actually all those are mere excuses  .  .  .  no one dumps anyone unless they've already found someone better  .  she's just trying to hide the fact that she was double-timing on you  .  .  samjhaa bitwaa  ?  doosri pakad ley  .  .,negative
garbage bin bhai batao na mera comment pahla hai na :(,neutral
good luck kejriwal,positive
just found out that the boys will be on ellen on november 9th .  .  .  ahhh so happy :'),positive
ye lal rang wala kutta bola .,neutral
itna bhi hum kuch nahi likh kar aaye  .  .  jo inko itna time lag raha hai check karne mein,negative
"cant wait to see  "" flight ""  on saturday ,  denzel is one of the best actors in the world alongside leo and de niro",positive
join phil on november 8 at the better software east conference in orlando where he'll be speaking on how to .  .  .  http/URL,neutral
record me nam aaya k nahi,neutral
school me 2 laddu milte they :d,neutral
"maya rudolph performs prince songs at brooklyn bowl this thursday night 9/20 ,  backed by the roots !  http/URL",neutral
ek mms par itna lafda q yar  .  .  .  r u all crazy,negative
aam admi party jindawad,positive
"@someUSER i had okc im playin online .  .  .  the nigga had da knicks .  .  i was bustin dey ass then the 4th come ,  raymond felton and jr smith",neutral
class 2 me to 99% adhe class ko aate hai  .  .  .  tu sach me mature nahi hai,negative
sabse adhik to 64 in 1 hi chalta tha ^_^,positive
#tech apple ceo apologizes for error-ridden new map app - apple ceo tim cook apologized friday for the company&amp;#039; .  .  .  http/URL,negative
anna ji kahan modi jaise sher ki tulna memne se kar rahe ho .  .  .,negative
"guddu khade rehne ki stithi me nahi hai kyunki kuch aur  ""   ""  ho gaya hai  !  !  :o :p :d hehehe rofl",positive
yahi hai kasab .  .  .  hang him .  .  .  .  .,negative
"@someUSER you should attend @someUSER champs this fri/sat/sun: top 12 roller derby teams in the world ,  we play indianapolis 8pm friday !  !  !",positive
guddu me talent to haiii :),positive
guddu ki halat jab normal ho jayegi tab aayega wo .  .  .  .  .  .  .  .  .  .  .  :p :p :d :d awesome garbage bin,positive
paras saini apko bhi ch### banaya,negative
jai jind .,positive
"i recorded the wanted on celebrity juice so if anyone missed it ,  i'll stream it again on saturday if anyone wants to see it ?",neutral
tere jaise bande hi toilet mein ja kr i love you likhte h  .,negative
what you got man  .  .  .  .  ?  ?  ?  ?  it is written by a girl and as you are not indian you may not know what is score  !  !  !,negative
modi stage pe hi bolta h kajrival ne modi ko khuli bahas ki chetavni di thi to kyo fat gai modi ki,negative
omg .  random bel ami tv spot - canada - it'll be premiering on the movie network november 23rd :),neutral
"most common nights to order pizza: nye ,  jan 1 ,  day before thanksgiving ,  super bowl sunday ,  halloween .  http/URL",neutral
"only 2 spots left for standard first aid with cpr c !  november 5 &amp; 6 ,  4pm-10pm in centretown .  contact centretown .  .  .  http/URL",neutral
@someUSER i'm going over to britain and ireland's next top mode and jls are performing on the monday and that's the day i was supposed,neutral
i sure watch it,neutral
i convinced a friend that crime patrol has been renamed as crime diesel because of rising petrol prices  .,positive
bhai log .  .  .  .  .  yu kisi ki barbaadi ka jashn nhi manaate .  .  .  .  .  .  .,negative
"luk into her eyes  .  .  hold her hands and say\  ""  baby m srry\  ""  that's gonna solve evrythin  .  .",neutral
ye post turant share karne yogya hai,positive
austin rivers just scored his 1st nba points with 6:48 left in the 4th you running with the big boys now son (my doc rivers voice),neutral
itna kya khash h isme jo hamme ni,neutral
best acting ever .  .  .  sabhi children ko aati hai ;),positive
"wisin &amp; yandel record song with ricky martin ,  jlotimes of indiathe reggaeton duo wisin &amp; yandel announced monday .  .  .  http/URL",neutral
bhai likhna aur karna 2 alag alag chiz hai  .,neutral
so i have a red eye flight home from ca sat .  night at 1am pst w/ layover in dallas on cst along with the clocks being pushed back an hour .,negative
ye apne papa ki zanjeer par latka hua hai  .  .  .  .  .  .  .  .,negative
november 16 breaking dawn part 2 is coming out who gonna watch it with me  ?,neutral
shaan kaafi acha dost hai tumhara  .  .  har comic strip main rehta hai :),positive
""" success saturday "" - having a great time at the 4th annual girlfriend group celebration !  @someUSER wood @someUSER cofield @someUSER maddox",positive
project x on a monday night ?  fuck it,negative
amazing day today .  i can't wait for tomorrow; i get my braces then movie night at my bf's house with rosa &amp; jose .  yaaaay .,positive
"mat dekho brothers and sisters ,  dekha nahi jayega",negative
a man wid golden words,positive
"talk about the history of valentine day: every february 14 ,  across the united states and in other places around the .  .  .  http/URL",neutral
sophia grace and rosie: we know one of your songs !  !  the sun comes down na na na na @someUSER http/URL,positive
ye to collage mei hota tha .  thandhiyon mei .  tab samajh mei aaye ke jeans kitne kaam ki cheez hai .,positive
"its november already .  .  christmas will be here soon ,  then new year ,  then valentine's day then graduation ?  !  ?  !",neutral
long time .  . nice one there bhai,positive
dear garbage bin (faisal aka guddu) visited ur stall today at book fair !  !  merchandise is quite good .  .  .  . grabbed two tees from those !  !  !  luving it .  .  .  :p :d,positive
mario ki alag alag stage hti thi isme and duck hunt b :p,positive
"hmm ,  i think i am living the movie ground hog day ,  grandma jan and isaac are back again this weekend",neutral
yeh isq nahi aasan bus aag ka dariya hai or doubna hi doubna hai  .  .  .  .  .  .  .  ;-(,negative
good luck to my brother from another mother @someUSER in his fight tomorrow at #ufcengland on fuel tv here in the states .  #warkingsbu #asu,positive
sir meri tbiyt kharab thi .  .  cough thi khu khu khu khu khuuuuuuu khuuuuuuu .  .  .,negative
ha ha ha you realy a best comedian man .  .  you don't know what you are saying .  .  so that people ran away from you and your party .  .,negative
yahi ek dava hai thand ki .  .  .  .  .  .  .  . baki ke to side effect hai,positive
@someUSER nah i havnt knew about the adidas deal !  u like it ?  i'm undecided .  .  .  .  where u watching game sat ?  i'm trying to get it off !,negative
esiliye papa used to say ki tum baccho ko bigad dogi paisa de ke ;-),negative
yahoo ke live score se ;),neutral
"playing as the browns hc k .  fri in #madden13 ,  xfacalac lost to the ravens 21-28 on all-madden #connectedcareers",neutral
"@someUSER that's rough .  you had 3 definite starts on a bye .  also ,  flacco over newton ?  we have to talk about this on friday .",neutral
tujhse kuch nhi hoga ak bhai baatein se kuch nhi hoga bhai paise se kaam hota hai jo aap ke pass nhi hai so better leave it,negative
sabki same problem :(,negative
aj kal ke modern students teachers ko bhi nahi chhodte yar huh,negative
"i may have missed out seeing noel fielding and rich fulcher today ,  but i did just see tom tilley !  #samsimmons",neutral
chalk ke bahane chakkar laga liye guddu ne .  . hum to chalk lene jate the to class over hone ke baad hi aate the .  .  :p :p,neutral
"this nigga @someUSER just hit a full court one handed shot with brook lopez .  .  . smh ,  21st birthday shit",negative
"kamaal hai ,  kisi ladki ne abhi tak blackboard ka sum solve nahi kiya :p",negative
hahahaa mast,positive
i can relate  .  parents never give a shit about what we go through  .  they are confused and frustrated right from the fucking day we were born  .,negative
the most funny line is .  .  .  kahan khoya hai mungerilaal .  .  .  aankhe khol aur problem solve kar,positive
ashish bryce neginavjot singhsunny bhardwajgaurav sahota .  . bhaiyoon .  .  .  . kutton .  .  . rush yaad hai,negative
we get to dress up in halloween costumes on wednesday .  sophia grace and rosie in the building ladies and gentleman .,neutral
downloading duels for ipad now .  finally magic on the perfect device .  i may never play mtgo again .  #dotp2013,positive
age v likh deta ki teri ma mar gai,negative
cried for every episode of dream high 2 starting from episode 13 !  !  !  t-t tomorrow i shall watch the last and final episode !,positive
@someUSER then he makes his first career field goal for edmonton on november 1 .  what a year .,positive
kis country ka he or iska nam kya he ?,neutral
uffff ye ye guddu ki khi khi khi  .  .  .  .  .  .  .  .  .  .  .  kitni pyari h  .  .  .,positive
"to follow up on last tweet ,  bills dt kyle williams expected to play sunday .  just resting the ankle during the week .",neutral
aur roj 500 ya isse adhik kamao,positive
aur jo chalk fight hoti thi gang bana k  .  .  .  de dhama dham .  .  .  .,neutral
kachua sir maths aur english dono pdate hai  ?  =p,neutral
"@someUSER check @someUSER timeline mate ,  looks like we'll find out if we found the gym .  if vitali steps up we may have to go too",neutral
great #tetra in india event in mumbai .  next event tuesday in jakarta .  see you there  ?  http/URL,positive
yaad nh toh km se km jikr toh sahi kar lala .  .  #garbagebin,negative
"can i join the admins in maintaining the page  ?  ?  i am currently in my 3rd year now  ,  and can speak/write fairly good english  .",neutral
i am ashamed of being in such country where 80 percnt majority has no voice  .,negative
@someUSER haha black dahlia was my favorite song by them too !  !  i miss you too .  are you still going to miss may i ?  ?  :),positive
italy: also tonight livorno host cesena looking to end of run of 2 home defeats on the trot . hellas in 2nd welcome lowly lanciano tomorrow .,neutral
"@someUSER haha !  !  well keep going ,  my hubby gave up on ash wed in '96 &amp; has never looked back .",positive
"@someUSER imo with gagner as you develop depth ,  89 would slot nice as a 3rd centre .",positive
guddu bada hi bhaukali he yr:-),negative
hahaha .  .  .  .  .  393 vala mario bahut hight tak jump kerta tha .  .  .  .  .  .,positive
wrong news .,negative
"@someUSER 9/9 account using your blackberry device ,  u may want to follow @someUSER for updates and additional support from rim .",neutral
shivani didi dekho aap model banati thi aise mere wo b ek din pehle .  .  .  .  .  . hahaha,neutral
sala #olympics k game bhare rehte the isme  .  .  .  .  dhokebaaz >_<,negative
make sure everyone comes out to our first opener practice tomorrow at 6:30 at the murphy center in dance studio b !  !  !,neutral
master ke saamne bheegi billi aur baad mein sher .  .  . bahut kamina hai ye baalak :p,negative
"shastri bhee kaunsi kam panauti hai jab bolta hai  "" all india doesnt want to do at this stage is to loose a wicket "" and koi out ho jata hai :)",negative
apple shakeup mobile software boss eased out: apple inc .  ceo tim cook on monday pushed out the powerful head of the company&amp;#039;s mo .  .  .,neutral
yup muje to world cup tabhi mil gaya tha jub india ne pakistan ko haraya tha,positive
oooo !  grandfather bas ab nahi kitna natak karoge,negative
happy 2015 garbage bin  .  you have been the best so far and wish you many more prosperous year ahead :),positive
main to bachi hui chalk bhi chhupa deta tha .  jisse ki bar bar lene jaana pade .,neutral
ab main hasun ga .  .,positive
very good indian labour .,positive
"they say you are what you eat ,  but it's friday and i don't care !  #tgif (@ ogalo crows nest) http/URL",positive
snow may fall for parts of cny the next few days .  find out where the best chances will be at 6:42 am on tv &amp; online: http/URL,neutral
hjaaray ji kya btaaygy ki wo desh k hit m h ya wo bhi poltics m aana chahatey h,neutral
aakhir le de k anna ji bhi party support karne lage h .  .  .  .  .  .  .  .  .  .  .  .  .  .,neutral
thursday nights just wont be the same without waterloo road,neutral
means guddu ko shadi se inkar nahi hai .  .,neutral
@someUSER is bringing out kendrick lamar the 6th of december !  ?  !  get your tickets now !,neutral
khushi ke sath world cup jitege,positive
abe subah subah kya ho gya tujhe admin  ?  ?  ?  jaa ke chai pi aur hume bhi pine de,neutral
the only bad thing about barack obama having a 2nd term as president is that its always a flop 2nd time round historically,negative
pura modi rss bjp walo ki fat gayi hai,negative
but i can't .  .  i'm an engineer  .  .  .  !  :'( :(,negative
"wo fair nd lovely lagane waali  ,  tu dhup me kanche khelne waala  ,  issi liye kalaa  .  .  .  .  bade dil wala  .  .  .  ;-)",positive
sabse mast hai launcher paji udbilaao ka la liya hua chips kha rhe hai .  :v :v really you are so creative .  (y) :),positive
feku ka bhashan fail ho gaya,negative
meri maa ne kiya tha homework bass bag mey rakhna bul gayiiii,neutral
school ho to aisa,neutral
not convinced by the haye v chisora fight @ upton park on saturday .  .  .  .  . personally i'd rather have seen carlton cole v emile heskey,negative
i'm pretty sure bill o'brien has gone for it on 4th down more in one season than paterno did his entire career .,neutral
chalk lane us section me jao jis section me ladki ho .  .  ;) ;),negative
thanks dd national for showing citylight,positive
toh dekha aapne kese is page ne is insaan ki zindgi badal di  .  .  .  toh jaldi like kijiye ye page  .  .  .  aur apni zindgi mein badlaav mehsus kijiye  .  .  :d,neutral
"woman ,  safety is most critical concern .  on this specific issue . today ,  the top leadership of the party hardly has any female faces .  recollect the people who represent the party - arvind kejriwal ,  ashutosh ,  manish sisodia ,  kumar vishwas ,  somnath bharati ,  ashish khetan - it's an all male club .",negative
"you are saying water for free ,  wifi for free ,  electricity at reduced price .  .  .  .",neutral
janowicz was #221 in january and the win over murray today takes him to #46 - good year !  mega potential !  #36 if he beats tipsarevic .,positive
james murphy best of luck tomorrow lil man .  you'll do great no doubts .,positive
aap headed by a negative personality arwind fit as opposition leader .  that will be nice fr delhi .,positive
accha hua sanskrit ke teacher ne complain nahi ki  .  .  .  :p,positive
koi aur kaam dhandha nhi hai  ?  kal monday hai :p,neutral
exam date jaanbhooj ke tabhi rakhi jaati thi jab matches hote the  .  aur maths ka paper theek match ke next day hota tha,negative
ab toh india karega thrill,positive
today is national kissing day coz it's no work day tomorrow !  !  !,positive
double dragon - dd3 sabse mast installment tha .  .  .  .  . specially the hurrican kick .  .  .  .  . hum log billy aur jimmy ko ek saath khaade rakhte the aur phir ek saath ab button dabake super hurricane kick karne ki koshish karte the .  .  .  .  .,positive
can't wait to see 'flight' with denzel washington on tomorrow !  bam !  ;-),positive
stop expecting from others  .  .  .  evryone is selfish  .  .,negative
"@someUSER u r a 5-star to the hog fans ,  va3 !  !  !  !  !  u got props from the coach wednesday night at the signing day event in the ville , #wps !",positive
agar aap apney desh ko sabse achha aur tarakki wala desh dekhna chahte h to modi aur bjp ko vote kare aur sabhi logo ko share kare,positive
aise sapne toh humne bhi dekhe thei school mein .  .  lolz,positive
"hahaha  ,  mujhe aaj hi pata chala that he is a batsman basicaly  ,  aaj tak mujhe lagta tha he is a spinner lol and ye uski shakal seriously kisi bandar ki copy lgti h  .",neutral
"aug 30 !  toads place ,  new haven ct .  myself ,  m . a . r .  ,  jitta on the track ,  danimal lector and more !  http/URL",neutral
iska jawab agar aap usse hi puchoge to better rahega  .  .,neutral
ab paaiye free recharges daily is link ko click karke install kare register kare offer me jaaye aur paaiye free talktime  .,positive
@someUSER it's republic day in turkey .  like 4th july in usa .,neutral
guddu .  .  .  u rocks .  .  .,positive
sania ab porki hai .  bharat ke khiladiyo mein use mat milaao,neutral
""" obma fails 2unite us ,  he divides us by sex ,  color , party , age ,  wealth nevada's 1st latino governor votes early for romney ,  predicts gop win """,negative
chalk ka maza toh free period mai letay thay .  .  .  . ek dusro ko chalk se maar k :-d,neutral
kachhua sir hindi padhate hai ya english .  agar wo allrounder hai to guddu bhi allrounder hi hoga .,neutral
so happy hisd has no school tomorrow !  no student teaching in the morning !  !,positive
4 in 1 wala cassette aacha hota hai 99999999 in 1 wala nahi :p <3 #games,neutral
hi frends android users k liye playstore per ek neya app aaya he playstore per aaya he tho origenl tho hoga he es app se hume free balance milta he 5 mb ka app he download kerne ka kuch nhi legta sirf app ko download kerne me 4 mintue lege ge ek bar download ker ke jeruar dheke main ab neche link de reha hu ek bar download ker ke jeruar dhekhe aap ko app use kerne ka bhaut profit milega me link de reha hu,positive
saala hamaare school me hindi me baat karne pe 10 rs fine lete the .  .  .  .,negative
love is like michael jackson's 8th nose  .  .  you'll never understand it,neutral
"chalk sirf likhne k ne  ,  marne k kam b aati thi .  .",negative
bathroom me ek boy ne ladki ko har jagah touch kiya poore badan me kiss kiya guess who was dat boy  .  .  .  .  ?  .  .  .  .  .  .  it was lifeboy  .  .  .  .  .  .,positive
player ko change kro nahi to khushi lete hi rah jawoge,negative
nothing equivalent to moms .,positive
book seller ki shop pe bhi guddu ki hi photo latki hui h .  .  .  .  . :-):-p:-d,negative
"mario ,  bomber man ,  road fighter and duck hunt .  .  .  contra tak ke liye ek alag cassette lena padta tha !  !",neutral
ak sir well,positive
aap deli main full bhumat se ayegi,positive
bhai tune doodh ka doodh aur pani ka pani kar dia .  i am very proud of you,positive
padhai kar le placement k baad ghar se udda k le jaiyo  .  .  .  .  sabr ka fal meetha hota hai ;),positive
@someUSER haha !  this weekends crazy esp w/ mike working but i'm throwing you a welcome home 20th birthday 3 . 0 when you get back from fl,positive
fuck sat !  act is where it's at !  :d,negative
this is austin rivers 1st game and people sucking him he a rookie chill  !,negative
@someUSER reggie isn't interested in dealing picks like the old regime .  can't see him parting with anything other than a 6th or 7th,negative
haha .  .  .  guddu u r busted ;) baithe rahiyo uthnaa nahi :v,positive
"first time listing to red:  "" does this diva think she's avril lavigne ?  ""  2nd - 54th time: can't . stop . listening .",positive
jab teacher chalk lene ke liye bhejta to badi garvili chal se office me peon ke pas jate the aur school ke corridor me ghumne ka licence bhi mil jata tha,neutral
anna bhi aap ka hi agent hai,neutral
"just got the call the magazine is ready for pickup get your copy at the  "" hands that heal fashion show ""  nov 4th mr .  reggie 404-246-9582",neutral
me; 'ill bring your birthday card in on friday' kane; 'aw really ?  it's the thought that counts i'd prefer a tv' twat,positive
you going to rugby practice on sunday #somethingisayalot,neutral
"@someUSER aww my celebrity day is this thursday also ,  going as jennifer hudson though :)",neutral
kab admission form bat raha hai :p,neutral
bina kisi ko pata chale set karna ek art hai :p,positive
guddu laila k sath date pe jaega k nahi  ?,neutral
ye fhoole wale desh ki janta .  ko fool ban rha h,negative
yae guddu tom bilkul tera hae kash wo school kae din phir aa jaeyeeeeeeee,positive
family me saath train mein phas gaya  .  .  .  12 hrs late from delhi :(,negative
"on my ym shit right now .  just finished listening to i am not a human being .  now going onto pink friday .  after this ,  hello careless world .",neutral
tu bada active ho rakha hai bhai @ garbage bin,positive
finished signing up for the sat and act,neutral
would it be acceptable for me to write my free entry friday in ms .  hughes' class tomorrow on candy,neutral
prestige puncture ho gayi guddu ki .  .  .,negative
7th scene in the sequence is the happiest moment of everyone's life .  .  itni khushi milti thi jaise bhagwaan se bhi badhkar koi hai .  .  yeh ehsaas dilata tha,positive
"with all benson's attention ,  frankie feels like a forgotten stepchild .  lets 'founding father' him so he know we will never forget 2nd place .",negative
@someUSER i think that's standard now .  it's actually an improvement .  before they were saying the 11th .  now the 9th .,positive
ee toh lolwa ho gaya .  . :d :p,positive
bollywood ne bachchon ko barbaad kar diya hai .  .  .  .  .  .  .  .  . satyanaash,negative
"guddu tri series aur test series mein , kya lene gya tha ?  ?",neutral
incredible bharat,positive
aaj k din jalebi khaye bina ghar ni lauta karte hai :) ^_^,neutral
admin itne din me q post krte ho,neutral
tears of the sun is wayyyyy better than act of valor,positive
street fighter kahan hai  !  chuli,neutral
after 2 days #fuckuover is the 20th most played song on my ipod .  only another 400 or so plays til it beats what makes you beautiful,neutral
kejeriwal tum jhute ho tumne saabka bishwas toda hai,negative
"@someUSER getting my xbox back tomorrow !  honestly can't wait !  - my friends wants a competitive 3v3 ,  see if cole is up for it man !",positive
"friday night an it's dead .  suppose i should go bed ,  watch spartacus and nurse a glass of rum as i have no coke:( #sendmetoasleep",negative
dude dude aiim's is a gv hospital but its very best,positive
yeh bachpan ke voh moments mein se ek hai jisme hum logon se jyada hum sabke mummy papa intrest lete they aur voh raat bhar baithkr project banana aur phir papa ka scooter/bike/ car se school tak le jana taaki project damage na ho .  .  . good one garbage bin .  .  .,positive
"greeting kobe is to mainstream !  so i'll just greet jeremy lin ,  happy 24th birthday jlin @someUSER :))))",positive
